,true_score,fake_score,true-fake
423,0.029597761,0.017488992,0.012108769
424,0.01789709,0.01675402,0.0011430699
425,0.020550411,0.014485189,0.0060652224
426,0.014181851,0.018511286,-0.0043294346
427,0.014181851,0.018511286,-0.0043294346
428,0.017992524,0.012690939,0.0053015854
429,0.028717337,0.035176616,-0.006459279
430,0.01442117,0.013755469,0.000665701
431,0.03148949,0.022110581,0.00937891
432,0.012173992,0.010494682,0.0016793096
433,0.012173992,0.010494682,0.0016793096
434,0.02932466,0.03959488,-0.010270221
435,0.11274749,0.07888658,0.033860907
436,0.021994162,0.020813916,0.0011802465
437,0.030735066,0.021969123,0.008765943
438,0.06366755,0.047810514,0.015857037
439,0.06366755,0.047810514,0.015857037
440,0.009710188,0.009590615,0.00011957344
441,0.009403927,0.009570487,-0.00016655959
442,0.01488928,0.01826225,-0.00337297
443,0.022510031,0.01005888,0.012451151
444,0.022510031,0.01005888,0.012451151
445,0.028127821,0.021018669,0.007109152
446,0.03576252,0.031328525,0.0044339933
447,0.024272436,0.019821076,0.0044513606
448,0.072389536,0.031444605,0.04094493
449,0.013926357,0.0075671608,0.0063591963
450,0.12261242,0.0062670372,0.116345376
